              Australian Bureau of Statistics,,,,,,,,,,,
"31010do002_202312 National, state and territory population, Dec 2023",,,,,,,,,,,
Released at 11:30 am (Canberra time) Thu 13 Jun 2024,,,,,,,,,,,
"Table 8 Estimated resident population, by age and sex–at 30 June 2023",,,,,,,,,,,
Age (years),New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,,
MALES,,,,,,,,,,,
7,"101,260","83,336","68,122","21,364","37,493","6,394","3,547","5,825","327,400",,
8,"100,513","82,484","68,403","21,249","36,857","6,360","3,575","5,863","325,363",,
9,"101,821","82,613","69,965","21,683","36,991","6,503","3,499","5,842","328,985",,
5-9,"498,987","409,027","335,693","105,112","183,999","31,427","17,489","28,531","1,610,559",,
10,"103,200","83,549","70,691","21,878","37,051","6,522","3,581","5,774","332,293",,
11,"103,870","82,400","71,105","22,095","36,775","6,527","3,570","5,625","332,030",,
12,"102,822","80,818","71,575","21,701","37,014","6,762","3,462","5,634","329,852",,
13,"103,843","81,926","72,601","22,067","36,871","6,722","3,459","5,738","333,285",,
14,"102,577","80,704","72,777","21,991","36,309","7,048","3,302","5,375","330,148",,
10-14,"516,312","409,397","358,749","109,732","184,020","33,581","17,374","28,146","1,657,608",,
15,"102,399","80,957","72,357","22,138","36,751","6,931","3,350","5,237","330,182",,
16,"101,128","80,688","71,375","21,953","36,156","6,951","3,142","5,233","326,679",,
17,"97,197","77,628","68,867","21,093","34,499","6,628","3,068","5,174","314,205",,
18,"97,907","78,937","67,369","20,951","33,280","6,302","3,098","5,264","313,155",,
19,"102,721","83,924","67,195","21,890","33,833","5,927","3,269","5,630","324,429",,
15-19,"501,352","402,134","347,163","108,025","174,519","32,739","15,927","26,538","1,608,650",,
20,"104,466","84,894","66,276","21,718","33,335","5,743","3,348","6,613","326,429",,
21,"104,687","86,354","67,909","22,070","33,531","5,735","3,216","6,936","330,466",,
22,"109,892","91,625","71,195","22,951","35,217","6,059","3,287","7,378","347,642",,
23,"115,350","95,323","72,992","23,952","36,731","6,333","3,480","7,931","362,131",,
24,"115,220","96,082","73,298","24,031","37,793","6,583","3,840","7,996","364,885",,
20-24,"549,615","454,278","351,670","114,722","176,607","30,453","17,171","36,854","1,731,553",,
25,"117,230","97,959","74,507","24,540","38,723","6,616","4,206","8,025","371,869",,
26,"118,937","101,796","75,004","24,933","39,655","7,200","4,431","7,939","379,963",,
27,"119,740","104,276","76,372","25,533","40,299","7,692","4,737","8,087","386,784",,
28,"121,979","106,369","77,474","25,782","41,500","8,220","4,928","8,533","394,839",,
29,"121,592","106,234","77,162","25,217","41,635","8,396","4,913","8,528","393,744",,
25-29,"599,478","516,634","380,519","126,005","201,812","38,124","23,215","41,112","1,927,199",,
30,"122,234","106,359","77,425","25,410","41,503","8,378","4,979","8,647","394,998",,
31,"123,088","105,984","77,496","25,201","41,990","8,348","4,886","8,375","395,435",,
32,"124,610","107,800","77,998","25,538","43,390","8,307","5,035","8,273","401,014",,
33,"124,461","107,923","77,584","25,373","43,855","8,105","5,029","8,232","400,615",,
34,"122,296","106,227","76,057","25,125","44,222","7,843","4,693","7,866","394,384",,
30-34,"616,689","534,293","386,560","126,647","214,960","40,981","24,622","41,393","1,986,446",,
35,"120,447","105,764","75,238","25,037","44,045","7,600","4,592","7,540","390,342",,
36,"119,748","104,777","75,349","25,080","44,414","7,465","4,425","7,607","388,930",,
37,"119,904","104,552","76,277","25,320","44,533","7,422","4,382","7,634","390,089",,
38,"119,200","103,756","75,937","25,191","44,112","7,387","4,161","7,510","387,318",,
39,"118,541","101,211","75,774","25,083","43,613","7,200","4,133","7,496","383,132",,
35-39,"597,840","520,060","378,575","125,711","220,717","37,074","21,693","37,787","1,939,811",,
40,"118,117","100,406","76,668","24,709","43,061","6,966","3,928","7,320","381,258",,
41,"114,440","96,862","73,816","23,875","41,577","6,998","3,698","7,250","368,583",,
42,"111,562","93,209","72,350","23,206","40,484","6,703","3,635","6,946","358,156",,
43,"106,211","88,293","69,256","22,140","38,280","6,349","3,466","6,470","340,526",,
